Time,Event
03:19.090,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
03:26.258,General Vezax's Mark of the Faceless  fades from Ratherbebelf
03:40.535,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
03:43.251,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
03:43.251,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:43.251,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:43.251,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
03:43.251,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
03:43.251,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
03:44.554,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:44.554,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
03:44.554,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
03:44.554,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:44.554,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
03:45.861,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:47.146,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:50.533,General Vezax's Mark of the Faceless  fades from Wunderlol
04:04.802,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
04:07.437,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:07.437,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
04:07.437,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
04:07.437,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
04:07.437,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
04:08.528,"General Vezax Mark of the Faceless Ratherbebelf 2729 (A: 2121) (U: 5000, M: 150, 3.00%)"
04:08.528,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
04:08.528,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
04:08.528,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
04:08.528,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:14.808,General Vezax's Mark of the Faceless  fades from Padparadcha
04:27.180,Scribless is afflicted by  Mark of the Faceless  from General Vezax
04:29.213,"General Vezax Mark of the Faceless Seeled 4559 (U: 5000, M: 441, 8.82%)"
04:29.213,"General Vezax Mark of the Faceless  Kinka 615 (A: 1375) (U: 5000, M: 3010, 60.20%)"
04:29.213,"General Vezax Mark of the Faceless Jajjs 4850 (U: 5000, M: 150, 3.00%)"
04:29.213,"General Vezax Mark of the Faceless Sarìah 4850 (U: 5000, M: 150, 3.00%)"
04:29.213,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:29.213,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
04:29.213,"General Vezax Mark of the Faceless Ivý 4850 (U: 5000, M: 150, 3.00%)"
04:29.213,"General Vezax Mark of the Faceless Nurfndecay (A: 4850) (U: 5000, M: 150, 3.00%)"
04:30.376,"General Vezax Mark of the Faceless Seeled 4559 (U: 5000, M: 441, 8.82%)"
04:30.376,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:30.376,"General Vezax Mark of the Faceless Jajjs 4850 (U: 5000, M: 150, 3.00%)"
04:30.376,"General Vezax Mark of the Faceless Ivý 4850 (U: 5000, M: 150, 3.00%)"
04:30.376,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
04:30.376,"General Vezax Mark of the Faceless Sarìah 4850 (U: 5000, M: 150, 3.00%)"
04:30.376,"General Vezax Mark of the Faceless Nurfndecay 4850 (U: 5000, M: 150, 3.00%)"
04:31.455,"General Vezax Mark of the Faceless Jajjs 4365 (U: 5000, M: 635, 12.70%)"
04:31.455,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
04:32.618,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
04:37.198,General Vezax's Mark of the Faceless  fades from Scribless
04:48.710,Seeled is afflicted by  Mark of the Faceless  from General Vezax
04:48.739,General Vezax's Mark of the Faceless  fades from  Seeled
05:11.609,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
05:14.217,"General Vezax Mark of the Faceless Onkos 3880 (U: 5000, M: 1120, 22.40%)"
05:14.217,"General Vezax Mark of the Faceless Magìcpìpe 4365 (U: 5000, M: 635, 12.70%)"
05:14.217,"General Vezax Mark of the Faceless Shindolshot 4191 (U: 5000, M: 809, 16.18%)"
05:14.217,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
05:14.217,"General Vezax Mark of the Faceless Boscaiolo 4365 (U: 5000, M: 635, 12.70%)"
05:14.217,"General Vezax Mark of the Faceless Pestie 4365 (U: 5000, M: 635, 12.70%)"
05:15.414,"General Vezax Mark of the Faceless Magìcpìpe 4365 (U: 5000, M: 635, 12.70%)"
05:15.416,"General Vezax Mark of the Faceless Boscaiolo 3437 (O: 1413) (U: 5000, M: 150, 3.00%)"
05:15.416,"General Vezax Mark of the Faceless Shindolshot 3436 (O: 755) (U: 5000, M: 809, 16.18%)"
05:21.612,General Vezax's Mark of the Faceless  fades from Wunderlol
05:23.697,"General Vezax Mark of the Faceless Onkos 3575 (O: 305) (U: 5000, M: 1120, 22.40%)"
05:23.718,"General Vezax Mark of the Faceless Pestie 1241 (O: 3124) (U: 5000, M: 635, 12.70%)"
00:18.387,Ratherbebelf is afflicted by  Mark of the Faceless  from General Vezax
00:20.940,"General Vezax Mark of the Faceless  Apraxial 4656 (U: 5000, M: 344, 6.88%)"
00:20.940,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:20.940,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
00:20.940,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
00:20.940,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:22.351,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:22.351,"General Vezax Mark of the Faceless  Apraxial 4656 (U: 5000, M: 344, 6.88%)"
00:22.351,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
00:28.371,General Vezax's Mark of the Faceless  fades from Ratherbebelf
00:39.541,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
00:42.400,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
